1,"AFRICAN CHURCH GRAMMAR SCHOOL (SNR), ITA-IYALODE",ABEOKUTA NORTH
2,"ANSAR-UD-DEEN GRAMMAR SCHOOL (SNR), ISAGA ORILE (COMBINED)",ABEOKUTA NORTH
3,"ARMYDAY SECONDARY SCHOOL (SNR), ALAMALA",ABEOKUTA NORTH
4,"EBENEZER GRAMMAR SCHOOL (SNR), IBEREKODO",ABEOKUTA NORTH
5,"GATEWAY SECONDARY SCHOOL (SNR), ITA-IYALODE",ABEOKUTA NORTH
6,"IDI-EMI HIGH SCHOOL (SNR), IDI-EMI (COMBINED)",ABEOKUTA NORTH
7,"IKIJA HIGH SCHOOL (SNR), IBEREKODO (COMBINED)",ABEOKUTA NORTH
8,"ILEWO ORILE COMMUNITY HIGH SCHOOL (SNR), ILEWO ORILE",ABEOKUTA NORTH
9,"ILUGUN HIGH SCHOOL (SNR), ELEGA",ABEOKUTA NORTH
10,"IMALA COMMUNITY HIGH SCHOOL (SNR), IMALA (COMBINED)",ABEOKUTA NORTH
11,"LAFENWA HIGH SCHOOL (SNR), LAFENWA",ABEOKUTA NORTH
12,"OKE-ONA GRAMMAR SCHOOL (SNR), OPEJI ROAD (COMBINED)",ABEOKUTA NORTH
13,"OLORUNDA COMMUNITY HIGH SCHOOL (SNR), OLORUNDA (COMBINED)",ABEOKUTA NORTH
14,"OLUMO HIGH SCHOOL (SNR), SABO (COMBINED)",ABEOKUTA NORTH
15,"PREMIER GRAMMAR SCHOOL (SNR), LAFENWA",ABEOKUTA NORTH
16,"ST. PETER'S COLLEGE (SNR), OLOMORE",ABEOKUTA NORTH
17,"UNITY HIGH SCHOOL (SNR), AGO-IKA",ABEOKUTA NORTH
18,"ABEOKUTA GIRLS' GRAMMAR SCHOOL, ONIKOLOBO (SENIOR)",ABEOKUTA SOUTH
19,"ABEOKUTA GRAMMAR SCHOOL, IDI ABA (SENIOR)",ABEOKUTA SOUTH
20,"ANGLICAN HIGH SCHOOL, QUARRY ROAD, IBARA (SENIOR)",ABEOKUTA SOUTH
21,"ASERO HIGH SCHOOL, ASERO (SENIOR)",ABEOKUTA SOUTH
22,"BAPTIST BOYS' HIGH SCHOOL, SAJE (SENIOR)",ABEOKUTA SOUTH
23,"BAPTIST GIRLS' COLLEGE SCHOOL, IDI ABA (SENIOR)",ABEOKUTA SOUTH
24,"CATHOLIC COMPREHENSIVE HIGH SCHOOL, PANSEKE (SENIOR)",ABEOKUTA SOUTH
25,"IGBORE HIGH SCHOOL, IGBORE (SENIOR)",ABEOKUTA SOUTH
26,"IJEMO-TITUN HIGH SCHOOL, HOUSING ESTATE, IBARA (SENIOR)",ABEOKUTA SOUTH
27,"LANTORO HIGH SCHOOL, LANTORO (SENIOR)",ABEOKUTA SOUTH
28,"LISABI GRAMMAR SCHOOL, IDI ABA (SENIOR)",ABEOKUTA SOUTH
29,"MACJOB GRAMMAR SCHOOL, ONIKOLOBO (SENIOR)",ABEOKUTA SOUTH
30,"METHODIST HIGH SCHOOL, OGBE (SENIOR)",ABEOKUTA SOUTH
31,"NAWAIR-UN-DEEN HIGH SCHOOL, ISABO (SENIOR)",ABEOKUTA SOUTH
32,"REVEREND KUTI MEMORIAL GRAMMAR SCHOOL, ISABO (SENIOR)",ABEOKUTA SOUTH
33,"SAINT JOHN'S ANGLICAN HIGH SCHOOL, KUTO (SENIOR)",ABEOKUTA SOUTH
34,"SAINT LEOï¿½S COLLEGE, ONIKOKO (SENIOR)",ABEOKUTA SOUTH
35,"SAJE HIGH SCHOOL, SAJE (SENIOR)",ABEOKUTA SOUTH
36,"ADO-ODO HIGH SCHOOL, ADO-ODO (SNR)",ADO ODO/OTA
37,"AGBARA COMMUNITY HIGH SCHOOL, EDU-AGBARA (SNR)",ADO ODO/OTA
38,"AJOGBO GRAMMAR SCHOOL, AJIBODE (SNR)",ADO ODO/OTA
39,"ALAMUWA GRAMMAR SCHOOL, ADO-ODO (SNR)",ADO ODO/OTA
40,"ANGLICAN GRAMMAR SCHOOL, OTA (SNR)",ADO ODO/OTA
41,"ANSAR-UD-DEEN COMPREHENSIVE COLLEGE, OTA (SNR)",ADO ODO/OTA
42,"ANSAR-UD-DEEN COMPREHENSIVE HIGH SCHOOL, LAFENWA (SNR)",ADO ODO/OTA
43,"COMMUNITY HIGH SCHOOL, ALAPOTI (SNR)",ADO ODO/OTA
44,"COMMUNITY HIGH SCHOOL, IROKO (SNR)",ADO ODO/OTA
45,"IGANMODE GRAMMAR SCHOOL, OTA (SNR)",ADO ODO/OTA
46,"IGBESA HIGH SCHOOL, IGBESA (SNR)",ADO ODO/OTA
47,"IJU-EBIYE HIGH SCHOOL, IJU-OTA (SNR)",ADO ODO/OTA
48,"LOCAL GOVERNMENT COMMERCIAL SECONDARY SCHOOL, ATAN (SNR)",ADO ODO/OTA
49,"MALE COMPREHENSIVE HIGH SCHOOL, IGBESA (SNR)",ADO ODO/OTA
50,"SANGO-OTA HIGH SCHOOL, SANGO (SNR)",ADO ODO/OTA
51,"ST. STEPHENS COMPREHENSIVE HIGH SCHOOL, ADO-ODO (SNR)",ADO ODO/OTA
52,"UNITY HIGH SCHOOL, IJOKO (SNR)",ADO ODO/OTA
53,"UNITY HIGH SCHOOL, KAJOLA-IBORO (SNR)",ADO ODO/OTA
54,"ITORI COMPREHENSIVE HIGH SCHOOL, ITORI.(SENIOR)",EWEKORO
55,"METHODIST HIGH SCHOOL,ARIGBAJO.(SENIOR)",EWEKORO
56,"PAPALANTO HIGH SCHOOL, PAPALANTO.(SENIOR)",EWEKORO
57,"ADENRELE HIGH SCHOO (SENIOR), IFO",IFO
58,AGBADO DISTRICT COMPREHENSIVE HIGH SCHOOL(SNR) OKE-ARO,IFO
59,"AJUWON HIGH SCHOOL (SENIOR),AJUWON",IFO
60,ANGLICAN GRAMMAR SCHOOL SNR OKENLA,IFO
61,COMMUNITY HIGH SCH.(SNR) OJODU-ABIODUN,IFO
62,"IFO HIGH SCHOOL (SENIOR),IFO",IFO
63,"ITOKI COMMUNITY HIGH  SCHOOL(SENIOR), ITOKI.",IFO
64,"N.U.D GRAMMAR SCHOOL (SENIOR),SOLU",IFO
65,"PAKOTO HIGH SCHOOL (SENIOR), AYEDE",IFO
66,COMPREHENSIVE HIGH SCHOOL (SNR) IJEBU IFE,IJEBU EAST
67,ITELE HIGH SCHOOL (SNR) ITELE IJEBU,IJEBU EAST
68,"ST. ANTHONY'S GRAMMAR SCHOOL (SNR) ESURE, IJEBU IMUSIN",IJEBU EAST
69,ST. BRENDAN'S GRAMMAR SCHOOL (SNR) OGBERE,IJEBU EAST
70,"ABOBI COMPREHESIVE HIGH SCHOOL (SENIOR), AGO IWOYE",IJEBU NORTH
71,"ABUSI ODUMARE ACADEMY (SENIOR), IJEBU IGBO",IJEBU NORTH
72,"AGO IWOYE SECONDARY SCHOOL (SENIOR),  AGO IWOYE",IJEBU NORTH
73,"AHMADIYYA HIGH SCHOOL (SENIOR),  AGO IWOYE",IJEBU NORTH
74,"BEJE HIGH SCHOOL (SENIOR). , IJEBU IGBO",IJEBU NORTH
75,"FOWOSEJE COMPREHENSIVE HIGH SCHOOL (SENIOR),  AGO IWOYE",IJEBU NORTH
76,"IJEBU IGBO GIRLS GRAMMAR SCHOOL (SENIOR), IJEBU-IGBO",IJEBU NORTH
77,"ITAMERIN COMPREHENSIVE HIGH SCHOOL (SENIOR), ORU IJEBU",IJEBU NORTH
78,"JAPARA HIGH SCHOOL (SENIOR), IJEBU IGBO",IJEBU NORTH
79,"KEGBO COMMUNITY COMPREHENSIVE HIGH SCHOOL (SENIOR), IJEBU",IJEBU NORTH
80,"METHODIST COMPREHENSIVE HIGH SCHOOL (SENIOR), AGO IWOYE",IJEBU NORTH
81,"MOLUSI COLLEGE (SENIOR),  IJEBU IGBO",IJEBU NORTH
82,"MUSLIM HIGH SCHOOL (SENIOR),  AGO IWOYE",IJEBU NORTH
83,"OBANTA COMPREHENSIVE HIGH SCHOOL (SENIOR),  AWA IJEBU",IJEBU NORTH
84,"SHAMSUDEEN GRAMMAR SCHOOL (SENIOR),  IJEBU-IGBO",IJEBU NORTH
85,"SOPEN COMPREHENSIVE HIGH SCHOOL (SENIOR),  IJEBU-IGBO",IJEBU NORTH
86,DEYOTUWO COMPREHENSIVE HIGH SCHOOL  (SENIOR),IJEBU NORTH-EAST
87,ILESE COMPREHENSIVE HIGH SCH (SENIOR),IJEBU NORTH-EAST
88,ISONYIN GRAMMAR SCHOOL  (SENIOR),IJEBU NORTH-EAST
89,OGBOOGBO BAPTIST GRAMMAR SCHOOL  (SENIOR),IJEBU NORTH-EAST
90,"ADEOLA ODUTOLA COLLEGE, IJEBU-ODE (SNR)",IJEBU ODE
91,ANGLICAN GIRLS GRAMMAR SCHOOL(SNR),IJEBU ODE
92,"ANSAR-UD-DEEN HIGH SCHOOL, IJEBU-ODE(SNR)",IJEBU ODE
93,"CHRIST CHURCH HIGH SCHOOL, IJEBU-ODE (SNR)",IJEBU ODE
94,"IJEBU MUSLIM COLLEGE, IJEBU-ODE (SNR)",IJEBU ODE
95,IJEBU -ODE GRAMMAR SCHOOL(SNR),IJEBU ODE
96,"LUBA COMP. SCHOOL, IJEBU-ODE (SNR)",IJEBU ODE
97,"MOLIPA HIGH SCHOOL, IJEBU-ODE(SNR)",IJEBU ODE
98,"MOSLEM COMP, HIGH SCHOOL(SNR)",IJEBU ODE
99,MUSLIM GIRLS HIGH SCHOOL(SNR),IJEBU ODE
100,OUR LADY OF APOSTLES SECONDARY SCHOOL(SNR),IJEBU ODE
101,"CHRIST APOSTOLIC GRAMMAR SCHOOL, IPERU REMO (SENIOR)",IKENNE
102,"IKENNE COMMUNITY HIGH SCHOOL, IKENNE (SENIOR)",IKENNE
103,"ILISAN HIGH SCHOOL, ILISAN - REMO (SENIOR)",IKENNE
104,"ISANBI COMPREHENSIVE HIGH SCHOOL, ILISAN REMO (SENIOR)",IKENNE
105,"MAYFLOWER SCHOOL, IKENNE (SENIOR)",IKENNE
106,"OSITELU MEMORIAL COLLEGE, OGERE REMO (SENIOR)",IKENNE
107,"UNITED HIGH SCHOOL, IKENNE (SENIOR)",IKENNE
108,"ALAKETU HIGH SCHOOL (SENIOR), IMEKO",IMEKO AFON
109,COMMUNITY HIGH SCHOOL (SENIOR)IDI-AYIN,IMEKO AFON
110,"COMMUNITY HIGH SCHOOL, ILARA (SENIOR)",IMEKO AFON
111,"IWOYE-KETU COMMUNITY HIGH SCHOOL (SENIOR), IWOYE-KETU",IMEKO AFON
112,NAZARETH HIGH SCHOOL (SNR) IMEKO,IMEKO AFON
113,"AGOSASA COMMUNITY SECONDARY SCHOOL, AGOSASA (SENIOR)",IPOKIA
114,"ALAARI HIGH SCHOOL, ALAARI (SENIOR)",IPOKIA
115,"COMMUNITY SECONDARY SCHOOL, IPOKIA (SENIOR)",IPOKIA
116,"COMMUNITY COMMERCIAL HIGH SCHOOL, MAUN (SENIOR)",IPOKIA
117,"COMMUNITY HIGH SCHOOL, TUBE (SENIOR)",IPOKIA
118,"IGIRI HIGH SCHOOL, IJOFIN (SENIOR)",IPOKIA
119,"IKO GATEWAY GRAMMAR SCHOOL , IDIROKO (SENIOR)",IPOKIA
120,"IMOTU COMMUNITY COMMERCIAL ACADEMY, IFONYINTEDO (SENIOR)",IPOKIA
121,"OJUMO COMMUNITY SECONDARY SCHOOL, IHUNBO (SENIOR)",IPOKIA
122,"AJEBO COMMUNITY HIGH SCHOOL (SENIOR), AJEBO",OBAFEMI OWODE
123,"COMMUNITY HIGH SCHOOL (SENIOR), IBAFO",OBAFEMI OWODE
124,"EGBA-OBAFEMI COMMUNITY GRAMMAR SCHOOL (SENIOR), OBAFEMI",OBAFEMI OWODE
125,"EGBA-OWODE GRAMMAR SCHOOL (SENIOR), OWODE-EGBA",OBAFEMI OWODE
126,"OFADA COMMUNITY COMPREHENSIVE HIGH SCHOOL (SENIOR), OFADA",OBAFEMI OWODE
127,"OGUNMAKIN HIGH SCHOOL (SENIOR), SOWUNMI",OBAFEMI OWODE
128,"OWODE HIGH SCHOOL (SENIOR), OWODE-EGBA",OBAFEMI OWODE
129,"EGBA ODEDA HIGH SCHOOL, ODEDA (SENIOR)",ODEDA
130,NAWAIR-UN-DEEN GRAMMAR SCHOOL (SENIOR),ODEDA
131,ORILE ILUGUN COMPREHENSIVE HIGH SCHOOL (SENIOR),ODEDA
132,"ORILE KEESI GRAMMAR SCHOOL, OLODO (SENIOR)",ODEDA
133,"ORILE KEMTA COMPREHENSIVE HIGH SCHOOL, OLUGBO (SENIOR)",ODEDA
134,SALAWU ABIOLA COMP.HIGH SCHOOL (SENIOR),ODEDA
135,"ANGLICAN COMPREHENSIVE HIGH SCH, (SNR) IKOTO",ODOGBOLU
136,"IBEFUN/ILADO COMPREHENSIVE HIGH SCH, (SNR), IBEFUN",ODOGBOLU
137,"MULTILATERAL GRAMMAR SCH, (SNR)OKUN- OWA",ODOGBOLU
138,"ODOGBOLU COMPREHENSIVE HIGH SCH,(SNR) ODOGBOLU",ODOGBOLU
139,"ODOGBOLU GRAMMAR SCH, (SNR) ODOGBOLU",ODOGBOLU
140,"ODU'A COMPREHENSIVE HIGH SCH, (SNR) IMORU",ODOGBOLU
141,"OMU AJOSE COMPREHENSIVE HIGH SCH,(SNR) OMU",ODOGBOLU
142,"OSOSA COMPREHENSIVE HIGH SCH, (SNR)OSOSA",ODOGBOLU
143,"AHMADYYA COMPREHENSIVE HIGH SCHOOL, ONI (SNR)",OGUN WATERSIDE
144,"AYILA HIGH SCHOOL SENIOR, AYILA (JNR)",OGUN WATERSIDE
145,"AYILA HIGH SCHOOL SENIOR, AYILA (SNR)",OGUN WATERSIDE
146,"COMMUNITY HIGH SCHOOL,IBIADE (SNR)",OGUN WATERSIDE
147,"IBIADE COMPREHENSIVE HIGH, AGODO (SNR)",OGUN WATERSIDE
148,ILUSIN GRAMMAR SCHOOL ILUSIN (SNR),OGUN WATERSIDE
149,"ST. KIZITO'S HIGH SCHOOL, IWOPIN. (SNR)",OGUN WATERSIDE
150,"ODE REMO HIGH SCHOOL (SENIOR), ODE REMO",REMO NORTH
151,"BATORO COMMUNITY GRAMMAR SCHOOL, SAGAMU (SNR)",SAGAMU
152,"MAKUN HIGH SCHOOL, SAGAMU (SNR)",SAGAMU
153,"METHODIST COMPREHENSIVE COLLEGE,  SAGAMU (SNR)",SAGAMU
154,"MUSLIM HIGH SCHOOL, SAGAMU (SNR)",SAGAMU
155,"OGIJO COMMUNITY  HIGH SCHOOL, OGIJO (SNR)",SAGAMU
156,"REMO DIVISIONAL HIGH SCHOOL, SAGAMU (SNR)",SAGAMU
157,"REMO SECONDARY  SCHOOL, SAGAMU (SNR)",SAGAMU
158,"SAGAMU  HIGH SCHOOL, SAGAMU (SNR)",SAGAMU
159,"SONYINDO COMMUNITY. HIGH SCHOOL, SAGAMU (SNR)",SAGAMU
160,AJODA HIGH SCHOOL (SENIOR) AYETORO,YEWA NORTH
161,ALAYE HIGH SCHOOL (SENIOR) AYETORO,YEWA NORTH
162,AYETORO COMMUNITY GRAMMAR SCHOOL (SENIOR) AYETORO,YEWA NORTH
163,COMMUNITY HIGH SCHOOL (SENIOR) IJOUN,YEWA NORTH
